candidate_id,rho,world,arm,gamma,matched_positive_cosine,recovered_fraction_cosine_095,mixing_energy,signed_hub_leakage,support_f1,support_macro_f1,hard_l0,expected_l0,hard_latent_relative_error,hard_mse,mean_mse,sampled_expected_mse,hard_ev,c_dec
rho+0.4_world211_exact32_g0_s2000,0.4,211,exact32,0.0,0.9996183387325915,1.0,0.0007552755031145608,0.02115253410029689,0.9652650356292725,0.9687148928642273,2.13275146484375,3.4502575397491455,0.0956277847290039,0.0011648143408820033,0.001128877978771925,0.0024185467045754194,0.981229841709137,0.021618285024582417
rho+0.4_world211_amortized_g1_s2000,0.4,211,amortized,4.0,0.6468371974191129,0.0,0.5447706058039202,0.17148471407624458,0.3330988883972168,0.32875287532806396,0.44012451171875,0.5455955266952515,0.9009552001953125,0.036336563527584076,0.031492117792367935,0.038603950291872025,0.41446125507354736,0.27974182047513446
rho+0.4_world211_optimized_mf_g1_s2000,0.4,211,optimized_mf,4.0,0.5909620424560732,0.0,0.644205941473835,0.45527183640652347,0.32058680057525635,0.3153727352619171,0.3902587890625,0.48164069652557373,0.9154252409934998,0.035621680319309235,0.033609431236982346,0.03575088083744049,0.4259811043739319,0.48786135017178783
rho+0.4_world211_exact32_g1_s2000,0.4,211,exact32,4.0,0.5664930639683888,0.0,0.6782643579628087,0.6257026156890131,0.3161369562149048,0.3152081370353699,0.39556884765625,0.47139352560043335,0.9208601117134094,0.034972600638866425,0.0322052538394928,0.0354694165289402,0.43644052743911743,0.5859060845429876
rho+0.4_world211_amortized_g2_s2000,0.4,211,amortized,8.0,0.16075875961133376,0.0,0.7617637160819675,-0.010311862614963085,0.0,0.0,0.0,0.0538262277841568,1.0,0.06219597905874252,0.05925433710217476,0.060679394751787186,-0.0022455453872680664,0.8794229907237046
rho+0.4_world211_optimized_mf_g2_s2000,0.4,211,optimized_mf,8.0,0.5075299529987768,0.0,0.7416447662836794,0.5003766481843717,0.11042837798595428,0.10991215705871582,0.11627197265625,0.12017689645290375,0.9726662635803223,0.05115595459938049,0.04911088943481445,0.05150647088885307,0.17565691471099854,0.5052037402721342
rho+0.4_world211_exact32_g2_s2000,0.4,211,exact32,8.0,0.5181995148189079,0.0,0.7308551117880422,0.5126491083420317,0.11387241631746292,0.11347030103206635,0.1201171875,0.12759314477443695,0.9713374972343445,0.050877343863248825,0.04838753491640091,0.05109754204750061,0.18014651536941528,0.5477428796513318
rho+0.4_world212_amortized_g0_s2000,0.4,212,amortized,0.0,0.6625969869052826,0.6,0.42810022253077473,-0.023193959953883958,0.7542240023612976,0.76397305727005,3.09326171875,3.451416015625,0.5796366930007935,0.002314809476956725,0.002871453296393156,0.005197789520025253,0.9628608822822571,0.12469364336890906
rho+0.4_world212_optimized_mf_g0_s2000,0.4,212,optimized_mf,0.0,0.6606098204876389,0.6,0.42684595544667514,-0.02980987699939583,0.7554436922073364,0.7651569843292236,2.91827392578125,3.4521570205688477,0.5884321331977844,0.0023822886869311333,0.0029829428531229496,0.004910744726657867,0.9617782235145569,0.1286776059971208
rho+0.4_world212_exact32_g0_s2000,0.4,212,exact32,0.0,0.9995891957334857,1.0,0.0008092150596293868,0.022124654840154235,0.956572413444519,0.9616917371749878,2.185791015625,3.45706844329834,0.09481214731931686,0.0011599021963775158,0.0011447129072621465,0.0024259481579065323,0.9813903570175171,0.022100886597880627
rho+0.4_world212_amortized_g1_s2000,0.4,212,amortized,4.0,0.6051081614459076,0.0,0.6327961161215893,0.4390575150226108,0.3399757742881775,0.3340137004852295,0.41583251953125,0.5386980175971985,0.8936147093772888,0.03654082864522934,0.03183624893426895,0.03858758136630058,0.41373372077941895,0.3783966479460766
rho+0.4_world212_optimized_mf_g1_s2000,0.4,212,optimized_mf,4.0,0.5794981702381551,0.0,0.6602193691057285,0.6248615168185427,0.3322334885597229,0.328142374753952,0.40093994140625,0.4941002130508423,0.910548985004425,0.03492699936032295,0.03267303854227066,0.03489094600081444,0.4396262764930725,0.5284443551041946
rho+0.4_world212_exact32_g1_s2000,0.4,212,exact32,4.0,0.561500786128391,0.0,0.6825823320592299,0.5980591887596121,0.32422447204589844,0.32346805930137634,0.40838623046875,0.48619791865348816,0.9170881509780884,0.034651681780815125,0.03190099447965622,0.035192038863897324,0.44404351711273193,0.5844888319551821
rho+0.4_world212_amortized_g2_s2000,0.4,212,amortized,8.0,0.34981648921033576,0.0,0.7412532137189084,0.29910154313682386,0.0,0.0,0.0,0.05162492394447327,1.0,0.06245102733373642,0.05979347974061966,0.061072222888469696,-0.0019731521606445312,0.8428710995949336
rho+0.4_world212_optimized_mf_g2_s2000,0.4,212,optimized_mf,8.0,0.5083164166563743,0.0,0.7407401698856744,0.5036813342083855,0.11120379716157913,0.11094647645950317,0.1180419921875,0.12194976210594177,0.9732328653335571,0.051280856132507324,0.049190688878297806,0.05160769075155258,0.1772426962852478,0.5481860050633464
rho+0.4_world212_exact32_g2_s2000,0.4,212,exact32,8.0,0.4923505966242602,0.0,0.7571667988384675,0.4958519918141986,0.11180124431848526,0.111781045794487,0.11871337890625,0.12443582713603973,0.9741208553314209,0.05097039416432381,0.04904564097523689,0.051311224699020386,0.18222379684448242,0.6002167680472714
