method,method_label,control_name,control_value,amplitude_shrinkage,average_l0,checkpoint_step,checkpoint_training_loss,clean_reconstruction_error,dead_feature_window,dead_fraction,decoder_recovery_cosine,decoder_recovery_ground_truth,decoder_recovery_sae,expected_l0,explained_variance,generalization_error,ground_truth_expected_l0,ground_truth_match_coverage,ground_truth_num_features,init_seed,input_dim,l1_raw_relu_rho_model,l1_raw_relu_selection_error,l1_raw_relu_sigma_sel,mask_uncertainty,matched_decoder_recovery_cosine,matched_latent_count,mean_activation,paper_style_sigma_sel,reconstruction_error,reconstruction_mse,rho_model,sae_latent_match_coverage,sae_width,selection_error,support_average_precision,support_density,support_f1,support_precision,support_recall,support_roc_auc,target_model_density,train_steps,union_width,unmatched_ground_truth_features,unmatched_sae_latents,l1_gmm_threshold,l1_raw_relu_density,n_seeds
vgsae,VG-SAE,gamma,0.125,7.206361651642594,44.89453125,999.0,-31.037948608398438,0.05963528901338577,100.0,0.0,0.6076534986495972,0.6076534986495972,0.6076534986495972,69.52598571777344,0.9961466789245605,3.0127966838773905,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.20926207485055745,0.6076534986495972,128.0,0.42465347051620483,0.21612060756436416,0.05963528901338577,0.005622409749776125,0.543171763420105,1.0,128.0,0.5281676237376054,0.13365351031607228,0.1,0.18068535825545168,0.11607065170103541,0.40757714634891534,0.5373187633960755,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,0.0,2.39065951252506,68.0234375,999.0,-34.958927154541016,0.0511317141354084,100.0,0.0,0.6118960380554199,0.6118960380554199,0.6118960380554199,73.18888092041016,0.9971672296524048,3.0232090685777258,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.20888777229576697,0.6118960380554199,128.0,0.42105087637901306,0.21538008769180306,0.0511317141354084,0.004133296199142933,0.5717881321907043,1.0,128.0,0.5532294888668818,0.12006902884114394,0.1,0.1792913423889399,0.10649477431951304,0.5666055606477238,0.529572314322359,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,-0.1,6.678460662710128,86.06640625,999.0,-34.61635208129883,0.05176794156432152,100.0,0.0,0.613190770149231,0.613190770149231,0.613190770149231,75.40260314941406,0.9970963001251221,2.9277569122943423,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.20918415190239043,0.613190770149231,128.0,0.4177020788192749,0.2162805534234104,0.05176794156432152,0.0042367964051663876,0.5890828371047974,1.0,128.0,0.5645584798762524,0.13644704062394536,0.1,0.18300007903264048,0.10509236145781328,0.7074549343110297,0.551295136322411,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,-0.2,6.534817942008511,100.138671875,999.0,-34.533119201660156,0.04848859831690788,100.0,0.0,0.614822506904602,0.614822506904602,0.614822506904602,78.27928924560547,0.9974525570869446,3.004458903681366,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.2061206530936447,0.614822506904602,128.0,0.4273737668991089,0.21327113983600776,0.04848859831690788,0.003717022016644478,0.6115570068359375,1.0,128.0,0.5845842546822055,0.12684894130785168,0.1,0.17697217081481223,0.09978350334497084,0.7815459822792545,0.5338930687139203,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,-0.3,7.340080223993905,108.994140625,999.0,-34.509735107421875,0.04948084056377411,100.0,0.0,0.6057397127151489,0.6057397127151489,0.6057397127151489,81.48715209960938,0.9973471760749817,2.956989699644323,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.20027406442824905,0.6057397127151489,128.0,0.43333566188812256,0.20822362046187937,0.04948084056377411,0.003870704211294651,0.6366183757781982,1.0,128.0,0.6028500790228222,0.1323977649018364,0.1,0.180301839585572,0.10072574142101962,0.8586923311946226,0.5454314963873748,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,-0.4,5.673747674813657,113.3125,999.0,-35.152889251708984,0.04964001849293709,100.0,0.0,0.6067695617675781,0.6067695617675781,0.6067695617675781,83.208251953125,0.9973301291465759,3.010495784647761,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.19912006230532986,0.6067695617675781,128.0,0.4376084506511688,0.20826410534523127,0.04964001849293709,0.0038956482894718647,0.6500644683837891,1.0,128.0,0.6144231398880287,0.12986567467370347,0.1,0.1811591958117778,0.10079977937120795,0.8933699969446991,0.5440525801288799,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,-0.5,5.6497962997424604,117.546875,999.0,-35.87110137939453,0.048974961042404175,100.0,0.0,0.6072543859481812,0.6072543859481812,0.6072543859481812,86.14744567871094,0.9974011778831482,3.0013852093932707,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.19315304643828823,0.6072543859481812,128.0,0.44260019063949585,0.20249564736888942,0.048974961042404175,0.0037919627502560616,0.6730269193649292,1.0,128.0,0.6328390645129787,0.1281183919771558,0.1,0.18099805185074183,0.10034228366343215,0.9225481209899175,0.5467676596679609,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,-0.6,6.615230913487345,120.203125,999.0,-37.37590408325195,0.04629891365766525,100.0,0.0,0.6109119653701782,0.6109119653701782,0.6109119653701782,88.81147766113281,0.9976774454116821,2.96182036918255,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.18665191324003377,0.6109119653701782,128.0,0.4356825053691864,0.1964177321466989,0.04629891365766525,0.0033888895995914936,0.6938396692276001,1.0,128.0,0.651583137239939,0.11757081101310986,0.1,0.18043765604347187,0.09981476667099962,0.9384356859150627,0.5340294190934918,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,-0.7,5.7109607632574,122.423828125,999.0,-33.73645782470703,0.05448415130376816,100.0,0.0,0.6131277680397034,0.6131277680397034,0.6131277680397034,91.90502166748047,0.9967836141586304,2.936662245728507,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.1778383149629403,0.6131277680397034,128.0,0.43263548612594604,0.18752606562592838,0.05448415130376816,0.004693061113357544,0.7180079817771912,1.0,128.0,0.6703926260736921,0.11826898449320167,0.1,0.18105652418853918,0.09998245082241827,0.9573785517873511,0.5399740265753692,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,-0.8,-1.625041257155886,123.8125,999.0,-37.66374969482422,0.048658765852451324,100.0,0.0,0.6130052804946899,0.6130052804946899,0.6130052804946899,94.85820007324219,0.9974346160888672,2.8743947415998377,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.1684439244830338,0.6130052804946899,128.0,0.4169074296951294,0.17823015288475563,0.048658765852451324,0.003743157023563981,0.7410796880722046,1.0,128.0,0.6872389204303389,0.13011057099435064,0.1,0.18176098830392634,0.10026501766784453,0.9709746410021387,0.5541454203089826,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
