method,run_id,seed,control_name,control_value,checkpoint_kind,metric_schema_version,checkpoint_size,checkpoint_mtime_ns,metric_definition,decoder_pairwise_cosine_similarity
gated,gated_l1_coefficient=2.0_seed=0,0,l1_coefficient,2.0,last,1,1067629,1786570024771337111,Sparse but Wrong Eq. (4),0.0770957246885463
gated,gated_l1_coefficient=3.0_seed=0,0,l1_coefficient,3.0,last,1,1067629,1786570021227285915,Sparse but Wrong Eq. (4),0.08013729075878602
gated,gated_l1_coefficient=4.0_seed=0,0,l1_coefficient,4.0,last,1,1067629,1786570026391360512,Sparse but Wrong Eq. (4),0.08231982439357283
gated,gated_l1_coefficient=5.0_seed=0,0,l1_coefficient,5.0,last,1,1067629,1786570014939195058,Sparse but Wrong Eq. (4),0.08291243349306637
gated,gated_l1_coefficient=7.0_seed=0,0,l1_coefficient,7.0,last,1,1067629,1786570023955325324,Sparse but Wrong Eq. (4),0.08239363246278479
gated,gated_l1_coefficient=9.0_seed=0,0,l1_coefficient,9.0,last,1,1067629,1786570023215314634,Sparse but Wrong Eq. (4),0.08323291582288289
jumprelu,jumprelu_l0_coefficient=0.0003_seed=0,0,l0_coefficient,0.0003,last,1,1063279,1786570021751293484,Sparse but Wrong Eq. (4),0.06997504192105682
jumprelu,jumprelu_l0_coefficient=0.001_seed=0,0,l0_coefficient,0.001,last,1,1063279,1786570019479260659,Sparse but Wrong Eq. (4),0.07003270938179883
jumprelu,jumprelu_l0_coefficient=0.003_seed=0,0,l0_coefficient,0.003,last,1,1063279,1786570022383302615,Sparse but Wrong Eq. (4),0.07055477556775235
jumprelu,jumprelu_l0_coefficient=0.005_seed=0,0,l0_coefficient,0.005,last,1,1063279,1786570016683220259,Sparse but Wrong Eq. (4),0.0709544089654003
jumprelu,jumprelu_l0_coefficient=0.006_seed=0,0,l0_coefficient,0.006,last,1,1063279,1786570016359215578,Sparse but Wrong Eq. (4),0.0708004248828921
jumprelu,jumprelu_l0_coefficient=0.007_seed=0,0,l0_coefficient,0.007,last,1,1063279,1786570020363273431,Sparse but Wrong Eq. (4),0.07060597123794667
jumprelu,jumprelu_l0_coefficient=0.015_seed=0,0,l0_coefficient,0.015,last,1,1063279,1786570014715191820,Sparse but Wrong Eq. (4),0.07140926476754209
jumprelu,jumprelu_l0_coefficient=0.01_seed=0,0,l0_coefficient,0.01,last,1,1063279,1786570015915209162,Sparse but Wrong Eq. (4),0.07099368442844016
jumprelu,jumprelu_l0_coefficient=0.02_seed=0,0,l0_coefficient,0.02,last,1,1063279,1786570013699177138,Sparse but Wrong Eq. (4),0.07179875164357923
jumprelu,jumprelu_l0_coefficient=0.03_seed=0,0,l0_coefficient,0.03,last,1,1063279,1786570013399172802,Sparse but Wrong Eq. (4),0.07164862387986795
jumprelu,jumprelu_l0_coefficient=0.05_seed=0,0,l0_coefficient,0.05,last,1,1063279,1786570011659147655,Sparse but Wrong Eq. (4),0.07131744408692753
