seed,width,prior_mode,gamma,readout,ev,mse_per_dimension,l0,support_f1
0,128,fixed_count,4.143134726391533,default_hard,0.8054053425044327,0.04709596931934357,1.0517578125,0.397501601537476
0,128,fixed_count,4.143134726391533,same_support_mean,0.7907832692371867,0.05063481628894806,1.0517578125,0.397501601537476
0,128,fixed_count,4.143134726391533,top_ma_same_count,0.7910070444396803,0.05058065801858902,1.0517578125,0.39782190903267134
0,128,fixed_count,4.143134726391533,top_m_k2_amplitude,0.7901090806370201,0.05079798400402069,2.0,0.460298069875397
0,128,fixed_count,4.143134726391533,top_m_k2_mean,0.758657028006718,0.05841003730893135,2.0,0.460298069875397
0,128,fixed_count,4.143134726391533,top_ma_k2_mean,0.7626042791212225,0.05745472013950348,2.0,0.46151966772538483
1,32,fixed_pi,2.70805020110221,default_hard,0.878230079142969,0.029470862820744514,1.54248046875,0.4328872947992827
1,32,fixed_pi,2.70805020110221,same_support_mean,0.8666807127755846,0.032266050577163696,1.54248046875,0.4328872947992827
1,32,fixed_pi,2.70805020110221,top_ma_same_count,0.8664995284373983,0.03230990096926689,1.54248046875,0.43178369430266245
1,32,fixed_pi,2.70805020110221,top_m_k2_amplitude,0.806042235237517,0.04694182798266411,2.0,0.4507696066454923
1,32,fixed_pi,2.70805020110221,top_m_k2_mean,0.7907963220210438,0.05063165724277496,2.0,0.4507696066454923
1,32,fixed_pi,2.70805020110221,top_ma_k2_mean,0.7989106282046278,0.048667825758457184,2.0,0.45492303933545075
1,64,fixed_pi,2.70805020110221,default_hard,0.8697053875857927,0.031534016132354736,1.30126953125,0.49326424870466323
1,64,fixed_pi,2.70805020110221,same_support_mean,0.8582999019932955,0.034294381737709045,1.30126953125,0.49326424870466323
1,64,fixed_pi,2.70805020110221,top_ma_same_count,0.8584602911534265,0.03425556421279907,1.30126953125,0.49385640266469283
1,64,fixed_pi,2.70805020110221,top_m_k2_amplitude,0.8494856556678081,0.036427613347768784,2.0,0.5291961886147081
1,64,fixed_pi,2.70805020110221,top_m_k2_mean,0.831422819320041,0.04079919680953026,2.0,0.5291961886147081
1,64,fixed_pi,2.70805020110221,top_ma_k2_mean,0.8385854882843261,0.039065681397914886,2.0,0.5340825800146591
1,64,fixed_count,3.4339872044851463,default_hard,0.8590217301760538,0.034119684249162674,1.19580078125,0.408013457715247
1,64,fixed_count,3.4339872044851463,same_support_mean,0.8470525120882939,0.03701648488640785,1.19580078125,0.408013457715247
1,64,fixed_count,3.4339872044851463,top_ma_same_count,0.8472967284428656,0.036957379430532455,1.19580078125,0.4092368863740633
1,64,fixed_count,3.4339872044851463,top_m_k2_amplitude,0.8284700117832159,0.0415138378739357,2.0,0.44759345223552405
1,64,fixed_count,3.4339872044851463,top_m_k2_mean,0.8096708629724908,0.0460636243224144,2.0,0.44759345223552405
1,64,fixed_count,3.4339872044851463,top_ma_k2_mean,0.8118680097570791,0.04553186893463135,2.0,0.451502565355485
1,128,fixed_pi,2.70805020110221,default_hard,0.8523437381670665,0.03573589771986008,1.384765625,0.44989893156222927
1,128,fixed_pi,2.70805020110221,same_support_mean,0.8405273977317463,0.03859569877386093,1.384765625,0.44989893156222927
1,128,fixed_pi,2.70805020110221,top_ma_same_count,0.8405706504707068,0.03858523070812225,1.384765625,0.45018769852728846
1,128,fixed_pi,2.70805020110221,top_m_k2_amplitude,0.8237571256193761,0.042654454708099365,2.0,0.4949914488150501
1,128,fixed_pi,2.70805020110221,top_m_k2_mean,0.8017473613982142,0.047981277108192444,2.0,0.4949914488150501
1,128,fixed_pi,2.70805020110221,top_ma_k2_mean,0.805303967935467,0.04712050408124924,2.0,0.5023210359149768
1,128,fixed_count,4.143134726391533,default_hard,0.8134603570330431,0.04514648765325546,1.05908203125,0.3975075890717367
1,128,fixed_count,4.143134726391533,same_support_mean,0.8008095927617634,0.04820823669433594,1.05908203125,0.3975075890717367
1,128,fixed_count,4.143134726391533,top_ma_same_count,0.801080468811666,0.048142679035663605,1.05908203125,0.3997443681099217
1,128,fixed_count,4.143134726391533,top_m_k2_amplitude,0.8056900409598821,0.047027066349983215,2.0,0.4644515025653555
1,128,fixed_count,4.143134726391533,top_m_k2_mean,0.7719203803581216,0.05520002916455269,2.0,0.4644515025653555
1,128,fixed_count,4.143134726391533,top_ma_k2_mean,0.7790480161430919,0.053474992513656616,2.0,0.47520156364524796
