seed,method,control,index,hard_mse,clean_signal_mse,hard_l0,true_l0,signed_dictionary_cosine,recovered_fraction_095,support_f1,coefficient_nmse,seconds,expected_mask_count,hard_mask_count,effective_mean_code_count,mean_mse,full_stochastic_mse,full_variance_energy,optimized_variance_energy,entropy_per_sample,beta_eff,optimized_free_energy,prior_cost,mask_uncertainty
2403,vg_profiled,0.0,0,0.0088713513687253,0.01698954403400421,11.994140625,2.0380859375,0.651415228843689,0.0625,0.2590298652648926,5.59455680847168,11.294697468169034,10.248458862304688,11.994140625,15.986083984375,0.009758038446307182,0.02041693776845932,0.04263559356331825,0.04263559356331825,8.31201171875,48.97894287109375,-12.78721809387207,11.090354919433594,2.861849069595337
2403,vg_no_variance,2.0,1,0.8328614234924316,0.8296147584915161,1.560546875,2.0380859375,0.6435706615447998,0.0,0.18032564222812653,5.080664157867432,9.244505164213479,4.455410003662109,1.560546875,15.999755859375,0.00015148447710089386,3.381430149078369,13.525115013122559,0.0,8.562278747558594,6601.33642578125,-32.80072021484375,10.941667556762695,2.8277182579040527
2403,vg_learned,0.0,0,0.008054640144109726,0.016737613826990128,11.82373046875,2.0380859375,0.7105379104614258,0.0625,0.26760363578796387,4.526684284210205,8.944492670707405,10.193572044372559,11.82373046875,15.97900390625,0.00874777976423502,0.01856784150004387,0.039280250668525696,0.039280250668525696,8.099982261657715,54.05380630493164,-1.6033883094787598,11.090354919433594,2.7771763801574707
2403,vg_no_variance,4.0,2,1.1550933122634888,1.1482155323028564,0.173828125,2.0380859375,0.6725645661354065,0.0,0.061589404940605164,2.2700893878936768,8.366735512390733,2.5007195472717285,0.173828125,15.99951171875,0.0004742934834212065,8.011460304260254,32.0439453125,0.0,6.564536094665527,2108.399169921875,-26.885997772216797,10.2932767868042,1.9871916770935059
2403,vg_profiled,2.0,1,0.024870965629816055,0.020949292927980423,1.59814453125,2.0380859375,0.8403596878051758,0.4375,0.4799247980117798,0.49065831303596497,10.097550440579653,2.8061461448669434,1.59814453125,15.846435546875,0.018187303096055984,0.032633066177368164,0.05778305232524872,0.05778305232524872,4.697259426116943,30.64376449584961,-10.74383544921875,7.64314079284668,1.3840808868408203
2403,vg_learned,2.0,1,0.02282799780368805,0.01935601606965065,1.697998046875,2.0380859375,0.8071135878562927,0.4375,0.47546231746673584,0.5593070983886719,9.877776176668704,2.778284788131714,1.697998046875,15.771728515625,0.016120247542858124,0.02952677011489868,0.05362609028816223,0.05362609028816223,4.3725175857543945,34.3449821472168,0.47697097063064575,7.587418079376221,1.2815186977386475
2403,vg_no_entropy,4.0,2,0.13829346001148224,0.12966035306453705,0.263916015625,2.0380859375,0.5687216520309448,0.1875,0.1172977015376091,0.995306670665741,8.50095574464649,0.371004194021225,0.263916015625,15.632568359375,0.12531012296676636,0.13931754231452942,0.05602966994047165,0.05602966994047165,0.7009955644607544,7.177847862243652,-6.109582901000977,1.7744157314300537,0.1589215248823166
2401,topk,2,1,0.029403887689113617,0.028256751596927643,2.0,1.989501953125,0.902043342590332,0.8125,0.4866287112236023,0.41600605845451355,8.046855060383677,,,,,,,,,,,,
2401,vg_no_entropy,2.0,1,0.040167439728975296,0.03512145206332207,1.047607421875,1.989501953125,0.6628658771514893,0.25,0.35562700033187866,0.8021281361579895,8.463309691287577,1.3357551097869873,1.047607421875,15.68603515625,0.03135783225297928,0.04370063915848732,0.049371227622032166,0.049371227622032166,1.7026854753494263,22.88296127319336,-7.819211959838867,4.702358245849609,0.44414371252059937
2401,l1,0.1,2,0.0038926678244024515,0.008043134585022926,6.755859375,1.989501953125,0.7962104082107544,0.125,0.35800227522850037,0.5224805474281311,6.384033504873514,,,,,,,,,,,,
