seed,method,control,batch_size,full_profile_gaussian,mean_batch_profile_gaussian,jensen_gap,beta_mean,beta_std,beta_full,floor_active
2401,vg_profiled,4.0,16,-11.891453742980957,-11.979242324829102,0.08778858184814453,20.409082412719727,4.213764667510986,19.547813415527344,False
2401,vg_profiled,4.0,256,-11.891453742980957,-11.898306846618652,0.0068531036376953125,19.615558624267578,1.1695235967636108,19.547813415527344,False
2401,vg_no_variance,0.0,16,-34.05375671386719,-35.488677978515625,1.4349212646484375,8985.607421875,5678.8603515625,4981.2646484375,False
2401,vg_no_variance,0.0,256,-34.05375671386719,-34.29778289794922,0.24402618408203125,5596.2431640625,1760.050537109375,4981.2646484375,False
2401,vg_no_entropy,0.0,16,-30.861236572265625,-33.970577239990234,3.1093406677246094,5723.400390625,2494.184326171875,2242.416259765625,False
2401,vg_no_entropy,0.0,256,-30.861236572265625,-32.48908996582031,1.6278533935546875,4054.80859375,1698.7724609375,2242.416259765625,False
2401,vg_profiled,0.0,16,-16.211326599121094,-16.580440521240234,0.3691139221191406,65.33720397949219,12.909915924072266,57.56022644042969,False
2401,vg_profiled,0.0,256,-16.211326599121094,-16.316543579101562,0.10521697998046875,60.33238220214844,10.939221382141113,57.56022644042969,False
2401,vg_no_variance,2.0,16,-34.05620193481445,-36.537078857421875,2.480876922607422,11869.177734375,7633.06005859375,4984.31103515625,False
2401,vg_no_variance,2.0,256,-34.05620193481445,-34.9510498046875,0.8948478698730469,7146.1865234375,2863.493408203125,4984.31103515625,False
2401,vg_learned,0.0,16,-26.185482025146484,-27.772857666015625,1.5873756408691406,1156.727783203125,427.3430480957031,696.7109375,False
2401,vg_learned,0.0,256,-26.185482025146484,-26.82589340209961,0.640411376953125,895.7172241210938,290.4498291015625,696.7109375,False
2401,vg_no_variance,4.0,16,-31.716293334960938,-33.00405502319336,1.2877616882324219,4699.19775390625,2635.387939453125,2776.852783203125,False
2401,vg_no_variance,4.0,256,-31.716293334960938,-31.888652801513672,0.17235946655273438,3011.87548828125,780.8407592773438,2776.852783203125,False
2401,vg_profiled,2.0,16,-13.64074420928955,-13.761346817016602,0.12060260772705078,31.81429672241211,5.682780742645264,30.270877838134766,False
2401,vg_profiled,2.0,256,-13.64074420928955,-13.656169891357422,0.015425682067871094,30.497520446777344,2.5043156147003174,30.270877838134766,False
2401,vg_learned,2.0,16,-14.11659049987793,-14.194796562194824,0.07820606231689453,35.315757751464844,5.864889144897461,34.09489059448242,False
2401,vg_learned,2.0,256,-14.11659049987793,-14.12430477142334,0.007714271545410156,34.2246208190918,2.0605199337005615,34.09489059448242,False
2401,vg_no_entropy,4.0,16,-8.760346412658691,-8.961891174316406,0.20154476165771484,9.930057525634766,3.537027597427368,8.935986518859863,False
2401,vg_no_entropy,4.0,256,-8.760346412658691,-8.769340515136719,0.008994102478027344,8.976899147033691,0.6207853555679321,8.935986518859863,False
2402,vg_no_entropy,2.0,16,-12.80563735961914,-12.895744323730469,0.09010696411132812,25.654029846191406,5.10441255569458,24.56712532043457,False
2402,vg_no_entropy,2.0,256,-12.80563735961914,-12.812305450439453,0.0066680908203125,24.648832321166992,1.4110080003738403,24.56712532043457,False
2402,vg_learned,4.0,16,-12.451345443725586,-12.548013687133789,0.09666824340820312,23.548702239990234,4.798761367797852,22.48472785949707,False
2402,vg_learned,4.0,256,-12.451345443725586,-12.458606719970703,0.0072612762451171875,22.56559944152832,1.328845739364624,22.48472785949707,False
2402,vg_profiled,4.0,16,-11.917130470275879,-12.006237030029297,0.08910655975341797,20.534645080566406,4.084192752838135,19.67369842529297,False
2402,vg_profiled,4.0,256,-11.917130470275879,-11.924226760864258,0.007096290588378906,19.74311065673828,1.158555507659912,19.67369842529297,False
2402,vg_no_variance,0.0,16,-35.42656326293945,-37.36371994018555,1.9371566772460938,14471.1875,8546.626953125,7020.8564453125,False
2402,vg_no_variance,0.0,256,-35.42656326293945,-35.73485565185547,0.3082923889160156,7980.70947265625,2093.17626953125,7020.8564453125,False
2402,vg_no_entropy,0.0,16,-32.38799285888672,-33.64536666870117,1.2573738098144531,5449.712890625,2976.39453125,3284.594482421875,False
